"Entity ID","Value ID","代表詞","同義詞1","同義詞2","同義詞3","同義詞4","同義詞5"
"D","019","信用卡",,,,,
"D","020","道路救援",,,,,
"D","021","車輛廠牌",,,,,
"D","022","高速公路",,,,,
"D","023","強排",,,,,
"D","024","刷機票",,,,,
"D","025","團費",,,,,
"D","026","龍騰卡",,,,,
"D","027","同一天",,,,,
"D","028","中信卡",,,,,
"D","029","折扣價",,,,,
"D","030","機票",,,,,
"D","031","旅遊保險",,,,,
"D","032","包機",,,,,
"D","033","傷害險",,,,,
"D","034","公共運輸",,,,,
"D","035","語音",,,,,
"D","036","郵局",,,,,
"D","037","親自臨櫃","臨櫃",,,,
"D","038","網路銀行",,,,,
"D","039","統一超商",,,,,
"D","040","ｉ繳費APP",,,,,
"D","041","毀補後","毀補",,,,
"D","042","無法確定",,,,,
"D","043","正卡掛失","掛失卡片",,,,
"D","044","毀壞","毀損","毀","壞",,
"D","045","機場貴賓室","貴賓室",,,,
